month,categories,title,link,event_date,description
3,"ARTS + CULTURE,, ENTERTAINMENT,, NIGHTLIFE",Danae Hays VIP Package,https://downtownpittsburgh.com/events/event/?id=62341,"Mar 28, 2025 | 8:00 pm - 11:00 pm","ARTS + CULTURE, ENTERTAINMENT, NIGHTLIFE


Gain exclusive access to the post-show Q&A with Danae Hays. EACH ATTENDEE must hold a valid show ticket, in any price category to Danae Hays: The First Time Tour AND pre-purchase a VIP Package ticket to attend."
3,COMMUNITY,Library Lounge: Coffee Hour,https://downtownpittsburgh.com/events/event/?id=62352,"Mar 28, 2025 | 10:00 am - 11:00 am",Join us for a fun and engaging social program!
3,"COMMUNITY,, WORKSHOPS & CLASSES",Let’s Speak English!,https://downtownpittsburgh.com/events/event/?id=62353,"Mar 28, 2025","COMMUNITY, WORKSHOPS & CLASSES


Join us to practice your English-speaking skills! You can freely practice with friendly neighbors in this relaxed social group."
3,"ARTS + CULTURE,, COMMUNITY",IIDA Pittsburgh Fashion Meets Finish,https://downtownpittsburgh.com/events/event/?id=62367,"Mar 28, 2025 | 6:00 pm - 10:00 pm","ARTS + CULTURE, COMMUNITY


Get ready to witness the perfect fusion of fashion and finishes at the  event!"
3,"ARTS + CULTURE,, ENTERTAINMENT,, MUSIC",Beethoven’s Pastoral,https://downtownpittsburgh.com/events/event/?id=62388,"Mar 28, 2025 - Mar 30, 2025","ARTS + CULTURE, ENTERTAINMENT, MUSIC


The PSO’s season features works inspired by the natural world: Beethoven’s “Pastoral” you can hear bucolic bird calls, the rolling of thunder, and the calling of a shepherd’s pipes from distant hills. Habibi’s new work was written as a meditation on climate change. Eisendle’s Heliosis, from the Greek word for the sun, is in turn blistering, scorching, and shimmering."
3,"ENTERTAINMENT,, MUSIC,, NIGHTLIFE","Tyler, The Creator",https://downtownpittsburgh.com/events/event/?id=62444,"Mar 28, 2025 | 7:30 pm - 10:30 pm","ENTERTAINMENT, MUSIC, NIGHTLIFE


Watch  perform live at PPG Paints Arena on the CHROMAKOPIA: THE WORLD TOUR!"
3,CONVENTION,Traffic Club of Pittsburgh 2025,https://downtownpittsburgh.com/events/event/?id=62365,"Mar 27, 2025","The Traffic Club of Pittsburgh organizes a wide array of recreational, educational and social events throughout the year to keep the transportation community updated and reward individuals that excel in their fields."
3,"ARTS + CULTURE,, ENTERTAINMENT,, MUSIC",The Yellowjackets,https://downtownpittsburgh.com/events/event/?id=62410,"Mar 27, 2025","ARTS + CULTURE, ENTERTAINMENT, MUSIC


Throughout their storied 43-year history, the Yellowjackets have recorded 26 albums, received 16 Grammy® nominations – won 2 – performed countless sold-out tours, and enjoyed worldwide critical acclaim and commercial success."
3,"ARTS + CULTURE,, ENTERTAINMENT",Prismatic Impressions,https://downtownpittsburgh.com/events/event/?id=62455,"Mar 27, 2025 | 7:00 pm - 10:00 pm","ARTS + CULTURE, ENTERTAINMENT


Ballet Legato presents “”, a colorful array of repertoire bringing the audience an eclectic prism of dance!"
3,CONVENTION,2025 GFS Show,https://downtownpittsburgh.com/events/event/?id=62364,"Mar 26, 2025 | 7:00 pm - 10:00 pm","The Gordon Food Service Show will feature a wide array of products, foods, and technology solutions. At the show, attendees will have the chance to sample tasty menus, learn to cook and prepare delicious plates, and gain valuable knowledge in how to handle new technology. Attendees will also take away a plethora of tips and tricks meant to bring a whole new level of efficiency to your business and productivity in the kitchen."
3,"COMMUNITY,, WORKSHOPS & CLASSES",Speakers Series: Chris Wallace,https://downtownpittsburgh.com/events/event/?id=62387,"Mar 26, 2025 | 8:00 pm - 10:00 pm","COMMUNITY, WORKSHOPS & CLASSES


Award-winning television anchor and commentator, Wallace’s career on ABC,?NBC,?Fox News, and?CNN spans five decades. He anchored Fox News Sunday for 18 years, and has interviewed everyone from Vladimir Putin to George Clooney to Bill Gates. He is currently host of The Chris Wallace Show."
3,COMMUNITY,An Evening with Rob Zellers,https://downtownpittsburgh.com/events/event/?id=62409,"Mar 26, 2025 | 7:00 pm - 9:00 pm","Join us for an intimate reading and conversation with esteemed playwright Rob Zellers (The Chief, Billy Strayhorn: Something to Live For, Harry’s Friendly Service) as he explores how inspiration and loss intertwine in his newest play that maps the parallel paths of his evolution as an artist and his daughter Alexa’s battle with illness."
3,"ARTS + CULTURE,, ENTERTAINMENT,, MUSIC",12 Ophelias (a play with broken songs),https://downtownpittsburgh.com/events/event/?id=62433,"Mar 26, 2025 - Mar 30, 2025","ARTS + CULTURE, ENTERTAINMENT, MUSIC


Shakespeare’s Ophelia rises up out of the water dreaming of Pop-Tarts and other sweet things. She finds herself in a neo-Elizabethan Appalachian setting where Gertrude runs a brothel, Hamlet is called a Rude Boy, and nothing is what it seems. In this mirrored world of word-scraps, Ophelia cuts a new path for herself."
3,"ENTERTAINMENT,, MUSIC",An Evening with Gregory Alan Isakov,https://downtownpittsburgh.com/events/event/?id=62451,"Mar 26, 2025 | 7:00 pm - 11:00 pm","ENTERTAINMENT, MUSIC


$1 from the sale of each ticket purchased will be donated to Greater Pittsburgh Community Food Bank, who are leveraging the power of community to achieve lasting solutions to hunger and its root causes. Every $1 donated results in providing 3 meals to the those in need."
3,"ENTERTAINMENT,, MUSIC,, NIGHTLIFE",Sound Series: Flore Laurentienne with special guest GLO-TREE,https://downtownpittsburgh.com/events/event/?id=62295,"Mar 25, 2025 | 8:00 pm - 10:30 pm","ENTERTAINMENT, MUSIC, NIGHTLIFE


We welcome Flore Laurentienne, the lush orchestral soundscape project of Mathieu David Gagnon – the Canadian composer, producer, and multi-instrumentalist whose expansive string orchestrations and experimentation with early analogue synths reflect the natural environment of his native Québec."
3,"ARTS + CULTURE,, ENTERTAINMENT",Lucky Draw,https://downtownpittsburgh.com/events/event/?id=62315,"Mar 23, 2025 | 7:30 pm - 8:30 pm","ARTS + CULTURE, ENTERTAINMENT


Join us on the fourth Sunday of each month for ! This is an interactive improv comedy show where half of the cast is drawn on the spot at random. Arcade’s Academy students, team members, or any other improvisers can put their names into the box and be picked to come on stage to play."
3,"ARTS + CULTURE,, ENTERTAINMENT,, NIGHTLIFE",Desi Banks: The Elevation Tour,https://downtownpittsburgh.com/events/event/?id=62339,"Mar 23, 2025 | 7:00 pm - 10:00 pm","ARTS + CULTURE, ENTERTAINMENT, NIGHTLIFE


Desi Banks is the ultimate triple threat – actor, stand-up comedian, podcaster, and entrepreneur who's taking the entertainment world by storm."
