page_date,location,start_time,end_time,title,event_link,summary,image_url
20250324,"Hunt Institute for Botanical Documentation, Hunt L...",9 a.m.,5 p.m.,Uncommon Perfection: Illustrations by Derek Norman,https://events.cmu.edu/event/13602-uncommon-perfection-illustrations-by-derek-norman,"In celebration of the recent acquisition of over 200 artworks by Derek Norman, this exhibition highlights work created over the last three decades and reflects his lifelong interest in the beauty of nature.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,28,400,428/498_hibd-norman-bluebells.rev.1740000919.jpg"
20250324,"The Center for Student Diversity & Inclusion, ...",Noon,1 p.m.,March MLK Reading Series: Cactus Country: A Boyhood Memoir by Zoe Bossiere,https://events.cmu.edu/event/13044-march-mlk-reading-series-cactus-country-a-boyhood,"A striking literary memoir of gender fluidity, class, masculinity, and the American Southwest that captures the author’s experience coming of age in a Tucson, Arizona, trailer park.","https://events.cmu.edu/live/image/gid/6/width/200/height/200/crop/1/src_region/0,0,1080,1080/348_3.rev.1736537051.png"
20250324,"TechSpark High Bay, Hamerschlag Hall C101",5,7 p.m.,Drop in Mending Hours,https://events.cmu.edu/event/13504-drop-in-mending-hours,"This is an opportunity for students, faculty and staff to learn how to alter and repair clothing in a laid-back setting.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,535,534/483_square_ts_mending.rev.1739134315.png"
20250324,,6:30,7:30 p.m.,Ph.D. Student Support Group,https://events.cmu.edu/event/13207-phd-student-support-group,"The PhD Support Group offers space to confidentially discuss the stressors and challenges of navigating relationships with advisors and peers, academic milestones, academic hazing, low motivation, struggles with self-confidence, and efforts to lead a more balanced life.","https://events.cmu.edu/live/image/gid/6/width/200/height/200/crop/1/src_region/0,0,600,600/407_CaPS_Calendar_Ombre.rev.1736801401.png"
20250324,"Hunt Library, Fourth Floor",,,Here to Stay: Celebrating 40 Years at the Architecture Archives,https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the,"This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,800,800/38_archarch40_website.rev.1719341395.png"
20250324,,,,Lent / Great Lent,https://events.cmu.edu/event/12499-lent-great-lent,,
20250324,Hunt Library Gallery,,,"Like, Totally Transformative: CMU in the 1980s",https://events.cmu.edu/event/10974-like-totally-transformative-cmu-in-the-1980s,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,591,559/107_2024.8.26_LikeTotally_WebsiteArtboard_1.p_s_.rev.1725542721.jpg"
20250324,,,,Ramadan,https://events.cmu.edu/event/12496-ramadan,,
20250324,,,,Women’s History Month,https://events.cmu.edu/event/12519-womens-history-month,,"https://events.cmu.edu/live/image/gid/9/width/200/height/200/crop/1/src_region/0,0,1200,1200/286_UCM-HM24_Womens-History-Month_Web-1200x1200.rev.1731418872.jpg"
20250325,"Hunt Institute for Botanical Documentation, Hunt L...",9 a.m.,5 p.m.,Uncommon Perfection: Illustrations by Derek Norman,https://events.cmu.edu/event/13603-uncommon-perfection-illustrations-by-derek-norman,"In celebration of the recent acquisition of over 200 artworks by Derek Norman, this exhibition highlights work created over the last three decades and reflects his lifelong interest in the beauty of nature.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,28,400,428/498_hibd-norman-bluebells.rev.1740000919.jpg"
20250325,Online,Noon,1 p.m.,Neurodiverse Employee Resource Group (NERG) Monthly Meeting,https://events.cmu.edu/event/12591-neurodiverse-employee-resource-group-nerg-monthly-meet,This group advocates for and supports neurodiverse people in the CMU community and beyond.,"https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,122,107/241_nerg-logo-min.rev.1730202635.png"
20250325,,Noon,1 p.m.,Virtual Gratitude Gathering,https://events.cmu.edu/event/13039-virtual-gratitude-gathering,"Join us for a virtual gratitude gathering on the last Tuesday of every month to pause, reflect and appreciate the goodness in our lives.","https://events.cmu.edu/live/image/gid/6/width/200/height/200/crop/1/src_region/0,0,1280,1279/346_pexels-disha-sheta-596631-4010464.rev.1736523900.jpg"
20250325,,4,5 p.m.,Invisible Fight: Chronic Illness Support Group,https://events.cmu.edu/event/13335-invisible-fight-chronic-illness-support-group,"Living with a chronic illness/medical condition can be an isolating experience. This support group is an opportunity for students who experience chronic conditions (i.e. asthma, diabetes, autoimmune diseases, cancer, and others) to gather in community for support and validation.","https://events.cmu.edu/live/image/gid/6/width/200/height/200/crop/1/src_region/0,0,600,600/407_CaPS_Calendar_Ombre.rev.1736801401.png"
20250325,"Well-being Lab (Room 104), Wellness & Meaning-...",5,6 p.m.,The Sangha,https://events.cmu.edu/event/13028-the-sangha,"Join in for a monthly reflective space to make connections with self and others, and to be a part of a supportive and nurturing community.","https://events.cmu.edu/live/image/gid/6/width/200/height/200/crop/1/src_region/96,4,1444,1352/331_The_Sangha.rev.1736273790.png"
